Task2 Solution (Core Perspective) of Our team:

Host0 finishes its jobs at 184.65, and is released at 186.36:

        Core0 has 28 tasks. It finishes its jobs at 177.30, and is released at 177.30:
                J03, B68, runTime 172.3 to 179.3
                J03, B50, runTime 179.3 to 182.5
                J03, B00, runTime 182.5 to 184.4

        Core3 has 26 tasks. It finishes its jobs at 132.72, and is released at 132.72:
                J07, B23, runTime 000.0 to 008.6
                J07, B07, runTime 008.6 to 016.1
                J07, B41, runTime 016.1 to 022.3
                J07, B18, runTime 022.3 to 028.2
                J07, B00, runTime 028.2 to 030.3
                J07, B16, runTime 030.3 to 032.1
                J00, B24, runTime 032.8 to 037.7
                J00, B07, runTime 037.7 to 041.6
                J00, B00, runTime 041.6 to 044.3
                J00, B30, runTime 044.3 to 046.7
                J09, B00, runTime 047.6 to 058.7
                J09, B32, runTime 058.7 to 069.2
                J09, B20, runTime 069.2 to 074.1
                J09, B08, runTime 074.1 to 077.3
                J02, B20, runTime 078.2 to 094.0
                J02, B28, runTime 094.0 to 101.4
                J02, B08, runTime 101.4 to 107.9
                J11, B14, runTime 107.9 to 112.5
                J11, B32, runTime 112.5 to 116.3
                J11, B00, runTime 116.3 to 119.9
                J11, B48, runTime 119.9 to 123.2
                J11, B28, runTime 123.2 to 126.1
                J11, B50, runTime 126.1 to 128.6
                J11, B17, runTime 128.6 to 130.5
                J11, B38, runTime 130.5 to 132.2
                J11, B22, runTime 132.2 to 132.7



Host1 finishes its jobs at 186.21, and is released at 186.36:

        Core0 has 8 tasks. It finishes its jobs at 186.21, and is released at 186.36:
                J12, B09, runTime 000.0 to 035.5
                J12, B10, runTime 035.5 to 068.5
                J12, B27, runTime 068.5 to 100.5
                J12, B50, runTime 100.5 to 124.8
                J12, B36, runTime 124.8 to 143.4
                J12, B56, runTime 143.4 to 161.3
                J12, B41, runTime 161.3 to 176.0
                J12, B14, runTime 176.0 to 186.2

        Core1 has 20 tasks. It finishes its jobs at 174.61, and is released at 177.30:
                J01, B16, runTime 000.0 to 006.3
                J01, B19, runTime 006.3 to 012.3
                J01, B23, runTime 012.3 to 017.1
                J01, B09, runTime 017.1 to 020.1
                J01, B30, runTime 020.1 to 021.6
                J04, B19, runTime 032.4 to 038.2
                J04, B18, runTime 038.2 to 043.4
                J04, B27, runTime 043.4 to 046.3
                J08, B63, runTime 046.4 to 058.1
                J08, B16, runTime 058.1 to 067.1
                J08, B29, runTime 067.1 to 074.1
                J08, B55, runTime 074.1 to 079.9
                J08, B20, runTime 079.9 to 083.8
                J08, B41, runTime 083.8 to 086.9
                J08, B04, runTime 086.9 to 088.5
                J13, B35, runTime 107.9 to 129.9
                J13, B37, runTime 129.9 to 148.8
                J13, B14, runTime 148.8 to 160.2
                J13, B10, runTime 160.2 to 170.2
                J13, B19, runTime 170.2 to 174.6

        Core2 has 27 tasks. It finishes its jobs at 173.93, and is released at 177.30:
                J14, B05, runTime 000.0 to 003.7
                J14, B32, runTime 003.7 to 006.9
                J14, B16, runTime 006.9 to 010.0
                J14, B12, runTime 010.0 to 012.9
                J14, B11, runTime 012.9 to 015.7
                J14, B40, runTime 015.7 to 018.2
                J14, B46, runTime 018.2 to 020.7
                J14, B17, runTime 020.7 to 022.9
                J14, B14, runTime 022.9 to 024.9
                J14, B08, runTime 024.9 to 026.5
                J14, B34, runTime 026.5 to 028.1
                J14, B15, runTime 028.1 to 029.5
                J14, B13, runTime 029.5 to 030.7
                J14, B42, runTime 030.7 to 031.5
                J14, B36, runTime 031.5 to 032.2
                J14, B33, runTime 032.2 to 032.8
                J08, B35, runTime 046.4 to 057.3
                J08, B08, runTime 057.3 to 066.7
                J08, B64, runTime 066.7 to 073.8
                J08, B19, runTime 073.8 to 080.0
                J08, B05, runTime 080.0 to 083.6
                J08, B62, runTime 083.6 to 087.1
                J13, B07, runTime 107.9 to 131.5
                J13, B00, runTime 131.5 to 147.8
                J13, B34, runTime 147.8 to 161.0
                J13, B36, runTime 161.0 to 168.8
                J13, B23, runTime 168.8 to 173.9

        Core3 has 24 tasks. It finishes its jobs at 120.24, and is released at 120.39:
                J07, B33, runTime 000.0 to 008.9
                J07, B38, runTime 008.9 to 016.1
                J07, B27, runTime 016.1 to 022.4
                J07, B30, runTime 022.4 to 028.0
                J07, B25, runTime 028.0 to 030.4
                J07, B06, runTime 030.4 to 032.0
                J00, B04, runTime 032.8 to 037.3
                J00, B02, runTime 037.3 to 041.3
                J00, B26, runTime 041.3 to 044.8
                J00, B08, runTime 044.8 to 046.3
                J00, B20, runTime 046.3 to 047.5
                J09, B01, runTime 047.6 to 060.7
                J09, B24, runTime 060.7 to 068.5
                J09, B19, runTime 068.5 to 074.6
                J09, B14, runTime 074.6 to 077.5
                J06, B31, runTime 088.5 to 094.7
                J06, B13, runTime 094.7 to 100.2
                J06, B27, runTime 100.2 to 104.9
                J06, B41, runTime 104.9 to 109.3
                J06, B66, runTime 109.3 to 112.9
                J06, B65, runTime 112.9 to 115.9
                J06, B19, runTime 115.9 to 118.0
                J06, B61, runTime 118.0 to 119.5
                J06, B75, runTime 119.5 to 120.2



Host2 finishes its jobs at 186.36, and is released at 186.36:

        Core0 has 21 tasks. It finishes its jobs at 174.38, and is released at 177.30:
                J07, B40, runTime 000.0 to 009.2
                J07, B09, runTime 009.2 to 016.6
                J07, B21, runTime 016.6 to 022.4
                J07, B17, runTime 022.4 to 028.1
                J07, B26, runTime 028.1 to 030.4
                J07, B37, runTime 030.4 to 032.1
                J04, B28, runTime 032.4 to 039.1
                J04, B15, runTime 039.1 to 043.2
                J04, B05, runTime 043.2 to 046.4
                J08, B56, runTime 046.4 to 057.0
                J08, B22, runTime 057.0 to 066.7
                J08, B01, runTime 066.7 to 073.9
                J08, B31, runTime 073.9 to 079.9
                J08, B58, runTime 079.9 to 083.7
                J08, B33, runTime 083.7 to 086.9
                J08, B30, runTime 086.9 to 088.1
                J13, B17, runTime 107.9 to 132.0
                J13, B50, runTime 132.0 to 148.1
                J13, B46, runTime 148.1 to 159.7
                J13, B28, runTime 159.7 to 169.7
                J13, B13, runTime 169.7 to 174.4

        Core1 has 8 tasks. It finishes its jobs at 184.53, and is released at 186.36:
                J12, B35, runTime 000.0 to 035.5
                J12, B38, runTime 035.5 to 069.6
                J12, B12, runTime 069.6 to 098.9
                J12, B32, runTime 098.9 to 124.1
                J12, B44, runTime 124.1 to 147.6
                J12, B05, runTime 147.6 to 164.0
                J12, B06, runTime 164.0 to 177.2
                J12, B23, runTime 177.2 to 184.5

        Core2 has 8 tasks. It finishes its jobs at 186.36, and is released at 186.36:
                J12, B29, runTime 000.0 to 036.2
                J12, B19, runTime 036.2 to 069.2
                J12, B52, runTime 069.2 to 098.9
                J12, B51, runTime 098.9 to 124.5
                J12, B22, runTime 124.5 to 144.6
                J12, B20, runTime 144.6 to 161.5
                J12, B15, runTime 161.5 to 176.1
                J12, B53, runTime 176.1 to 186.4

        Core3 has 16 tasks. It finishes its jobs at 173.93, and is released at 177.30:
                J05, B16, runTime 000.0 to 011.7
                J05, B02, runTime 011.7 to 021.5
                J05, B21, runTime 021.5 to 031.4
                J05, B01, runTime 031.4 to 039.2
                J05, B10, runTime 039.2 to 046.0
                J05, B13, runTime 046.0 to 051.8
                J05, B24, runTime 051.8 to 057.1
                J05, B23, runTime 057.1 to 060.4
                J05, B26, runTime 060.4 to 062.2
                J02, B09, runTime 078.2 to 091.9
                J02, B25, runTime 091.9 to 105.6
                J13, B43, runTime 107.9 to 128.4
                J13, B48, runTime 128.4 to 148.0
                J13, B20, runTime 148.0 to 160.2
                J13, B05, runTime 160.2 to 169.0
                J13, B04, runTime 169.0 to 173.9

        Core4 has 30 tasks. It finishes its jobs at 184.40, and is released at 184.53:
                J01, B33, runTime 000.0 to 006.8
                J01, B06, runTime 006.8 to 012.3
                J01, B14, runTime 012.3 to 017.0
                J01, B00, runTime 017.0 to 020.4
                J01, B04, runTime 020.4 to 021.5
                J01, B02, runTime 021.5 to 022.2
                J04, B26, runTime 032.4 to 038.8
                J04, B13, runTime 038.8 to 043.6
                J04, B09, runTime 043.6 to 045.8
                J09, B17, runTime 047.6 to 059.3
                J09, B11, runTime 059.3 to 068.5
                J09, B23, runTime 068.5 to 074.4
                J09, B27, runTime 074.4 to 077.5
                J06, B21, runTime 088.5 to 094.5
                J06, B52, runTime 094.5 to 100.6
                J06, B60, runTime 100.6 to 105.1
                J06, B55, runTime 105.1 to 109.1
                J06, B63, runTime 109.1 to 112.9
                J06, B40, runTime 112.9 to 116.3
                J06, B29, runTime 116.3 to 118.1
                J06, B76, runTime 118.1 to 119.5
                J06, B25, runTime 119.5 to 120.1
                J03, B24, runTime 120.4 to 132.8
                J03, B61, runTime 132.8 to 144.7
                J03, B40, runTime 144.7 to 155.3
                J03, B57, runTime 155.3 to 164.7
                J03, B29, runTime 164.7 to 173.0
                J03, B22, runTime 173.0 to 179.4
                J03, B75, runTime 179.4 to 182.1
                J03, B41, runTime 182.1 to 184.4

        Core5 has 20 tasks. It finishes its jobs at 174.01, and is released at 177.30:
                J01, B36, runTime 000.0 to 006.4
                J01, B25, runTime 006.4 to 012.3
                J01, B32, runTime 012.3 to 017.3
                J01, B35, runTime 017.3 to 020.0
                J01, B34, runTime 020.0 to 022.3
                J04, B12, runTime 032.4 to 038.9
                J04, B23, runTime 038.9 to 043.4
                J04, B20, runTime 043.4 to 046.0
                J08, B26, runTime 046.4 to 057.3
                J08, B65, runTime 057.3 to 066.4
                J08, B42, runTime 066.4 to 074.5
                J08, B38, runTime 074.5 to 079.3
                J08, B06, runTime 079.3 to 084.0
                J08, B36, runTime 084.0 to 086.4
                J08, B53, runTime 086.4 to 088.1
                J13, B01, runTime 107.9 to 128.7
                J13, B45, runTime 128.7 to 147.9
                J13, B39, runTime 147.9 to 160.9
                J13, B03, runTime 160.9 to 168.6
                J13, B15, runTime 168.6 to 174.0

        Core6 has 20 tasks. It finishes its jobs at 174.09, and is released at 177.30:
                J10, B60, runTime 000.0 to 007.1
                J10, B23, runTime 007.1 to 014.2
                J10, B03, runTime 014.2 to 020.7
                J10, B04, runTime 020.7 to 026.5
                J10, B05, runTime 026.5 to 032.0
                J10, B13, runTime 032.0 to 036.8
                J10, B16, runTime 036.8 to 040.8
                J10, B22, runTime 040.8 to 044.4
                J10, B57, runTime 044.4 to 047.6
                J10, B58, runTime 047.6 to 050.2
                J10, B12, runTime 050.2 to 052.1
                J10, B27, runTime 052.1 to 053.6
                J02, B01, runTime 078.2 to 094.4
                J02, B04, runTime 094.4 to 101.8
                J02, B21, runTime 101.8 to 105.1
                J13, B51, runTime 107.9 to 130.7
                J13, B09, runTime 130.7 to 147.6
                J13, B02, runTime 147.6 to 161.9
                J13, B33, runTime 161.9 to 169.4
                J13, B26, runTime 169.4 to 174.1

        Core7 has 26 tasks. It finishes its jobs at 184.09, and is released at 184.53:
                J04, B03, runTime 032.4 to 040.3
                J04, B29, runTime 040.3 to 044.0
                J04, B10, runTime 044.0 to 044.9
                J08, B50, runTime 046.4 to 056.3
                J08, B57, runTime 056.3 to 066.2
                J08, B24, runTime 066.2 to 074.3
                J08, B43, runTime 074.3 to 079.2
                J08, B14, runTime 079.2 to 083.9
                J08, B09, runTime 083.9 to 086.9
                J08, B51, runTime 086.9 to 088.5
                J06, B20, runTime 088.5 to 094.9
                J06, B35, runTime 094.9 to 100.3
                J06, B42, runTime 100.3 to 104.9
                J06, B07, runTime 104.9 to 109.2
                J06, B00, runTime 109.2 to 112.9
                J06, B06, runTime 112.9 to 115.9
                J06, B62, runTime 115.9 to 118.3
                J06, B28, runTime 118.3 to 119.6
                J03, B18, runTime 120.4 to 133.7
                J03, B21, runTime 133.7 to 145.6
                J03, B11, runTime 145.6 to 155.4
                J03, B72, runTime 155.4 to 164.5
                J03, B16, runTime 164.5 to 173.2
                J03, B30, runTime 173.2 to 178.7
                J03, B52, runTime 178.7 to 182.7
                J03, B56, runTime 182.7 to 184.1

        Core8 has 24 tasks. It finishes its jobs at 182.84, and is released at 184.53:
                J07, B24, runTime 000.0 to 008.8
                J07, B10, runTime 008.8 to 016.3
                J07, B08, runTime 016.3 to 022.6
                J07, B11, runTime 022.6 to 026.3
                J07, B32, runTime 026.3 to 029.9
                J07, B04, runTime 029.9 to 032.0
                J00, B15, runTime 032.8 to 037.6
                J00, B05, runTime 037.6 to 041.5
                J00, B23, runTime 041.5 to 044.8
                J00, B13, runTime 044.8 to 046.8
                J09, B25, runTime 047.6 to 060.3
                J09, B30, runTime 060.3 to 069.5
                J09, B16, runTime 069.5 to 074.4
                J09, B29, runTime 074.4 to 077.5
                J02, B24, runTime 078.2 to 092.6
                J02, B00, runTime 092.6 to 102.0
                J02, B15, runTime 102.0 to 105.1
                J03, B62, runTime 120.4 to 133.8
                J03, B31, runTime 133.8 to 145.4
                J03, B26, runTime 145.4 to 155.2
                J03, B64, runTime 155.2 to 164.8
                J03, B32, runTime 164.8 to 172.3
                J03, B20, runTime 172.3 to 179.0
                J03, B76, runTime 179.0 to 182.8

        Core9 has 30 tasks. It finishes its jobs at 183.15, and is released at 184.53:
                J07, B03, runTime 000.0 to 008.3
                J07, B39, runTime 008.3 to 015.8
                J07, B36, runTime 015.8 to 022.8
                J07, B15, runTime 022.8 to 026.5
                J07, B20, runTime 026.5 to 029.9
                J07, B31, runTime 029.9 to 032.1
                J00, B21, runTime 032.8 to 037.0
                J00, B16, runTime 037.0 to 041.2
                J00, B27, runTime 041.2 to 044.8
                J00, B25, runTime 044.8 to 046.6
                J00, B19, runTime 046.6 to 047.5
                J09, B03, runTime 047.6 to 058.9
                J09, B18, runTime 058.9 to 068.3
                J09, B05, runTime 068.3 to 075.0
                J06, B22, runTime 088.5 to 094.6
                J06, B49, runTime 094.6 to 100.2
                J06, B34, runTime 100.2 to 105.1
                J06, B59, runTime 105.1 to 109.2
                J06, B12, runTime 109.2 to 112.8
                J06, B37, runTime 112.8 to 116.4
                J06, B50, runTime 116.4 to 118.1
                J06, B39, runTime 118.1 to 119.5
                J06, B17, runTime 119.5 to 120.4
                J03, B05, runTime 120.4 to 132.7
                J03, B08, runTime 132.7 to 144.7
                J03, B36, runTime 144.7 to 155.5
                J03, B43, runTime 155.5 to 164.6
                J03, B01, runTime 164.6 to 173.5
                J03, B54, runTime 173.5 to 178.4
                J03, B27, runTime 178.4 to 183.2

        Core10 has 31 tasks. It finishes its jobs at 184.52, and is released at 184.53:
                J07, B29, runTime 000.0 to 008.1
                J07, B35, runTime 008.1 to 016.0
                J07, B19, runTime 016.0 to 022.5
                J07, B14, runTime 022.5 to 027.9
                J07, B05, runTime 027.9 to 030.8
                J07, B12, runTime 030.8 to 032.4
                J00, B28, runTime 032.8 to 037.6
                J00, B03, runTime 037.6 to 041.3
                J00, B06, runTime 041.3 to 044.9
                J00, B18, runTime 044.9 to 046.3
                J00, B22, runTime 046.3 to 047.6
                J09, B07, runTime 047.6 to 060.7
                J09, B28, runTime 060.7 to 068.2
                J09, B15, runTime 068.2 to 075.0
                J09, B10, runTime 075.0 to 077.2
                J06, B58, runTime 088.5 to 095.0
                J06, B24, runTime 095.0 to 100.4
                J06, B33, runTime 100.4 to 105.0
                J06, B70, runTime 105.0 to 109.3
                J06, B45, runTime 109.3 to 112.8
                J06, B71, runTime 112.8 to 116.4
                J06, B51, runTime 116.4 to 118.0
                J06, B02, runTime 118.0 to 119.5
                J03, B65, runTime 120.4 to 132.8
                J03, B25, runTime 132.8 to 144.8
                J03, B58, runTime 144.8 to 155.4
                J03, B23, runTime 155.4 to 164.6
                J03, B12, runTime 164.6 to 173.1
                J03, B55, runTime 173.1 to 179.2
                J03, B19, runTime 179.2 to 182.5
                J03, B37, runTime 182.5 to 184.5



Host3 finishes its jobs at 186.36, and is released at 186.36:

        Core0 has 29 tasks. It finishes its jobs at 184.53, and is released at 184.53:
                J07, B28, runTime 000.0 to 009.3
                J07, B22, runTime 009.3 to 016.4
                J07, B01, runTime 016.4 to 022.5
                J07, B13, runTime 022.5 to 027.7
                J07, B02, runTime 027.7 to 031.1
                J07, B34, runTime 031.1 to 032.3
                J00, B10, runTime 032.8 to 037.2
                J00, B11, runTime 037.2 to 041.1
                J00, B12, runTime 041.1 to 044.7
                J00, B09, runTime 044.7 to 047.1
                J09, B31, runTime 047.6 to 058.9
                J09, B06, runTime 058.9 to 068.2
                J09, B26, runTime 068.2 to 075.1
                J06, B04, runTime 088.5 to 094.6
                J06, B01, runTime 094.6 to 100.0
                J06, B18, runTime 100.0 to 105.2
                J06, B15, runTime 105.2 to 109.1
                J06, B11, runTime 109.1 to 112.9
                J06, B56, runTime 112.9 to 115.7
                J06, B16, runTime 115.7 to 118.3
                J06, B73, runTime 118.3 to 119.6
                J03, B63, runTime 120.4 to 133.9
                J03, B04, runTime 133.9 to 145.3
                J03, B02, runTime 145.3 to 155.3
                J03, B39, runTime 155.3 to 164.7
                J03, B10, runTime 164.7 to 172.8
                J03, B59, runTime 172.8 to 179.5
                J03, B03, runTime 179.5 to 182.1
                J03, B44, runTime 182.1 to 184.5

        Core1 has 8 tasks. It finishes its jobs at 185.07, and is released at 186.36:
                J12, B02, runTime 000.0 to 035.5
                J12, B00, runTime 035.5 to 068.6
                J12, B55, runTime 068.6 to 099.0
                J12, B47, runTime 099.0 to 123.7
                J12, B54, runTime 123.7 to 147.7
                J12, B17, runTime 147.7 to 164.2
                J12, B45, runTime 164.2 to 176.3
                J12, B42, runTime 176.3 to 185.1

        Core2 has 9 tasks. It finishes its jobs at 186.36, and is released at 186.36:
                J12, B21, runTime 000.0 to 035.1
                J12, B08, runTime 035.1 to 070.3
                J12, B31, runTime 070.3 to 097.8
                J12, B39, runTime 097.8 to 123.8
                J12, B07, runTime 123.8 to 147.9
                J12, B04, runTime 147.9 to 163.7
                J12, B33, runTime 163.7 to 177.9
                J12, B26, runTime 177.9 to 182.7
                J12, B18, runTime 182.7 to 186.4

        Core3 has 8 tasks. It finishes its jobs at 186.24, and is released at 186.36:
                J12, B48, runTime 000.0 to 035.1
                J12, B16, runTime 035.1 to 069.6
                J12, B40, runTime 069.6 to 097.8
                J12, B37, runTime 097.8 to 124.5
                J12, B30, runTime 124.5 to 143.5
                J12, B13, runTime 143.5 to 161.0
                J12, B24, runTime 161.0 to 175.6
                J12, B43, runTime 175.6 to 186.2

        Core4 has 21 tasks. It finishes its jobs at 132.56, and is released at 132.72:
                J05, B15, runTime 000.0 to 010.8
                J05, B19, runTime 010.8 to 021.6
                J05, B08, runTime 021.6 to 030.4
                J05, B17, runTime 030.4 to 038.4
                J05, B04, runTime 038.4 to 045.5
                J05, B07, runTime 045.5 to 052.2
                J05, B11, runTime 052.2 to 056.6
                J05, B22, runTime 056.6 to 060.8
                J05, B18, runTime 060.8 to 062.0
                J02, B16, runTime 078.2 to 094.2
                J02, B27, runTime 094.2 to 101.6
                J02, B11, runTime 101.6 to 105.1
                J11, B05, runTime 107.9 to 112.2
                J11, B27, runTime 112.2 to 116.4
                J11, B01, runTime 116.4 to 119.9
                J02, B23, runTime 078.2 to 093.3
                J02, B19, runTime 093.3 to 101.5
                J02, B14, runTime 101.5 to 106.8
                J11, B18, runTime 107.9 to 112.3
                J11, B51, runTime 112.3 to 116.4
                J11, B25, runTime 116.4 to 119.9
                J11, B31, runTime 119.9 to 123.3
                J11, B46, runTime 123.3 to 126.0
                J11, B26, runTime 126.0 to 128.7
                J11, B16, runTime 128.7 to 130.6
                J11, B47, runTime 130.6 to 131.9
                J11, B40, runTime 131.9 to 132.7

        Core6 has 32 tasks. It finishes its jobs at 184.41, and is released at 184.53:
                J01, B07, runTime 000.0 to 007.0
                J01, B28, runTime 007.0 to 012.6
                J01, B10, runTime 012.6 to 016.5
                J01, B40, runTime 016.5 to 020.3
                J01, B21, runTime 020.3 to 021.7
                J04, B24, runTime 032.4 to 037.7
                J04, B07, runTime 037.7 to 043.1
                J04, B17, runTime 043.1 to 046.2
                J08, B02, runTime 046.4 to 058.2
                J08, B52, runTime 058.2 to 067.2
                J08, B25, runTime 067.2 to 073.8
                J08, B66, runTime 073.8 to 079.9
                J08, B40, runTime 079.9 to 084.2
                J08, B61, runTime 084.2 to 086.4
                J08, B48, runTime 086.4 to 088.3
                J06, B53, runTime 088.5 to 094.5
                J06, B57, runTime 094.5 to 100.3
                J06, B38, runTime 100.3 to 105.1
                J06, B74, runTime 105.1 to 109.3
                J06, B44, runTime 109.3 to 112.9
                J06, B69, runTime 112.9 to 116.0
                J06, B14, runTime 116.0 to 117.9
                J06, B48, runTime 117.9 to 119.5
                J06, B68, runTime 119.5 to 120.3
                J03, B74, runTime 120.4 to 132.5
                J03, B71, runTime 132.5 to 144.7
                J03, B51, runTime 144.7 to 155.8
                J03, B35, runTime 155.8 to 164.8
                J03, B67, runTime 164.8 to 172.3
                J03, B34, runTime 172.3 to 179.4
                J03, B45, runTime 179.4 to 182.1
                J03, B53, runTime 182.1 to 184.4

        Core7 has 21 tasks. It finishes its jobs at 176.33, and is released at 177.30:
                J01, B13, runTime 000.0 to 006.7
                J01, B05, runTime 006.7 to 012.4
                J01, B26, runTime 012.4 to 017.0
                J01, B29, runTime 017.0 to 020.2
                J01, B27, runTime 020.2 to 021.6
                J04, B08, runTime 032.4 to 040.3
                J04, B21, runTime 040.3 to 044.1
                J04, B25, runTime 044.1 to 045.0
                J08, B15, runTime 046.4 to 057.6
                J08, B44, runTime 057.6 to 066.6
                J08, B07, runTime 066.6 to 074.1
                J08, B13, runTime 074.1 to 079.8
                J08, B17, runTime 079.8 to 084.2
                J08, B10, runTime 084.2 to 086.6
                J08, B11, runTime 086.6 to 088.3
                J13, B40, runTime 107.9 to 127.4
                J13, B18, runTime 127.4 to 147.1
                J13, B47, runTime 147.1 to 162.9
                J13, B24, runTime 162.9 to 169.1
                J13, B42, runTime 169.1 to 173.7
                J13, B31, runTime 173.7 to 176.3



Host4 finishes its jobs at 184.14, and is released at 184.53:

        Core0 has 19 tasks. It finishes its jobs at 174.45, and is released at 177.30:
                J01, B08, runTime 000.0 to 006.3
                J01, B01, runTime 006.3 to 012.3
                J01, B11, runTime 012.3 to 017.5
                J01, B03, runTime 017.5 to 020.1
                J01, B17, runTime 020.1 to 021.8
                J04, B14, runTime 032.4 to 038.5
                J04, B01, runTime 038.5 to 043.3
                J04, B02, runTime 043.3 to 046.3
                J08, B23, runTime 046.4 to 057.5
                J08, B54, runTime 057.5 to 066.7
                J08, B59, runTime 066.7 to 073.8
                J08, B45, runTime 073.8 to 080.3
                J08, B34, runTime 080.3 to 083.8
                J08, B18, runTime 083.8 to 087.0
                J13, B12, runTime 107.9 to 128.6
                J13, B38, runTime 128.6 to 148.0
                J13, B25, runTime 148.0 to 159.7
                J13, B16, runTime 159.7 to 170.8
                J13, B21, runTime 170.8 to 174.4

        Core1 has 29 tasks. It finishes its jobs at 184.09, and is released at 184.53:
                J01, B22, runTime 000.0 to 007.0
                J01, B24, runTime 007.0 to 012.4
                J01, B37, runTime 012.4 to 017.0
                J01, B20, runTime 017.0 to 020.4
                J01, B31, runTime 020.4 to 021.2
                J01, B38, runTime 021.2 to 022.0
                J04, B22, runTime 032.4 to 040.3
                J04, B04, runTime 040.3 to 043.9
                J04, B06, runTime 043.9 to 045.8
                J09, B12, runTime 047.6 to 060.8
                J09, B02, runTime 060.8 to 068.1
                J09, B13, runTime 068.1 to 075.0
                J06, B72, runTime 088.5 to 094.9
                J06, B47, runTime 094.9 to 100.4
                J06, B26, runTime 100.4 to 104.7
                J06, B30, runTime 104.7 to 109.0
                J06, B67, runTime 109.0 to 112.9
                J06, B46, runTime 112.9 to 116.0
                J06, B03, runTime 116.0 to 117.7
                J06, B08, runTime 117.7 to 119.3
                J06, B32, runTime 119.3 to 120.3
                J03, B13, runTime 120.4 to 132.8
                J03, B15, runTime 132.8 to 144.6
                J03, B49, runTime 144.6 to 156.0
                J03, B77, runTime 156.0 to 164.9
                J03, B17, runTime 164.9 to 172.1
                J03, B33, runTime 172.1 to 179.3
                J03, B48, runTime 179.3 to 182.6
                J03, B60, runTime 182.6 to 184.1

        Core2 has 19 tasks. It finishes its jobs at 173.88, and is released at 177.30:
                J01, B41, runTime 000.0 to 007.0
                J01, B18, runTime 007.0 to 012.5
                J01, B15, runTime 012.5 to 017.1
                J01, B39, runTime 017.1 to 020.0
                J01, B12, runTime 020.0 to 022.4
